container_id,container_name,cpu_percent,mem_percent
67c5359f6243,with-agent-assess,42.49%,1.44%
67c5359f6243,with-agent-assess,44.35%,1.44%
67c5359f6243,with-agent-assess,42.91%,1.44%
67c5359f6243,with-agent-assess,70.15%,1.44%
67c5359f6243,with-agent-assess,45.04%,1.44%
67c5359f6243,with-agent-assess,43.73%,1.44%
67c5359f6243,with-agent-assess,44.22%,1.44%
67c5359f6243,with-agent-assess,43.12%,1.44%
67c5359f6243,with-agent-assess,45.57%,1.44%
67c5359f6243,with-agent-assess,43.97%,1.44%
67c5359f6243,with-agent-assess,44.41%,1.44%
67c5359f6243,with-agent-assess,43.69%,1.44%
67c5359f6243,with-agent-assess,43.95%,1.44%
67c5359f6243,with-agent-assess,44.30%,1.44%
67c5359f6243,with-agent-assess,71.25%,1.44%
67c5359f6243,with-agent-assess,45.77%,1.44%
67c5359f6243,with-agent-assess,46.51%,1.44%
67c5359f6243,with-agent-assess,44.92%,1.44%
67c5359f6243,with-agent-assess,45.21%,1.44%
67c5359f6243,with-agent-assess,44.51%,1.44%
67c5359f6243,with-agent-assess,44.66%,1.44%
67c5359f6243,with-agent-assess,45.00%,1.44%
67c5359f6243,with-agent-assess,43.09%,1.44%
67c5359f6243,with-agent-assess,45.77%,1.44%
67c5359f6243,with-agent-assess,42.73%,1.44%
67c5359f6243,with-agent-assess,73.04%,1.44%
67c5359f6243,with-agent-assess,43.82%,1.44%
67c5359f6243,with-agent-assess,44.02%,1.44%
