container_id,container_name,cpu_percent,mem_percent
7130c2acebad,without-agent,10.04%,0.90%
7130c2acebad,without-agent,9.63%,0.90%
7130c2acebad,without-agent,27.04%,0.90%
7130c2acebad,without-agent,9.39%,0.90%
7130c2acebad,without-agent,11.60%,0.90%
7130c2acebad,without-agent,9.81%,0.90%
7130c2acebad,without-agent,8.09%,0.90%
7130c2acebad,without-agent,9.85%,0.90%
7130c2acebad,without-agent,9.02%,0.90%
7130c2acebad,without-agent,10.50%,0.90%
7130c2acebad,without-agent,11.06%,0.90%
7130c2acebad,without-agent,9.98%,0.90%
